,participant_id,condition,difficulty,frequency,instance,time_1st_fix_Diagnostics,time_1st_fix_Diagnostics_norm,visit_count_Actions,visit_count_Actions_norm,visit_len_Description,visit_len_Description_norm
115,17,Easy Slow,Easy,Slow,2,9.464334760393415,4.076498225433008,2.25,0.7840020324014387,1.2518501849401564,0.22783800835074575
116,17,Hard Fast,Hard,Fast,1,7.31163307598659,3.3534341512712897,4.571428571428571,1.427063634132434,1.8006970279070795,0.610563184582353
117,17,Hard Fast,Hard,Fast,2,8.036162441427058,3.6077083200177236,3.1818181818181817,1.1031149687761188,1.2489677465323246,0.22546684606858441
118,17,Hard Slow,Hard,Slow,1,35.60554385185242,9.621736589792185,4.25,1.3626752906064108,4.593855328857899,1.6813628266940206
119,17,Hard Slow,Hard,Slow,2,14.139395674069723,5.398008247983714,1.8333333333333333,0.5910058077978233,1.1662249702309806,0.15527440241221255
120,18,Easy Fast,Easy,Fast,1,8.942863512039185,3.90984187555764,2.6,0.9182739697302973,1.7912318810394834,0.6048885693464519
121,18,Easy Fast,Easy,Fast,2,6.010588391621908,2.8619088156824355,2.1333333333333333,0.7341429687914371,1.1031358546680876,0.09876763339581067
122,18,Easy Slow,Easy,Slow,1,3.0264833314078197,1.466923718518256,1.8333333333333333,0.5910058077978233,1.27186032249814,0.24416855757148553
123,18,Easy Slow,Easy,Slow,2,5.012694154466901,2.4464338025629755,1.5,0.3986570685856805,1.1702695375397092,0.1588051295344063
124,18,Hard Fast,Hard,Fast,1,6.279171854257584,2.967548495429993,3.25,1.1223410305545083,1.4849139336673987,0.4053902090375588
125,18,Hard Fast,Hard,Fast,2,8.146993708610534,3.645548675150197,3.111111111111111,1.0826993796625535,2.669548491636912,1.045367740124281
126,18,Hard Slow,Hard,Slow,1,9.571287822723388,4.110091147506958,2.8,0.9864699286101878,1.542039042711258,0.4451657534914804
127,18,Hard Slow,Hard,Slow,2,7.432531674702962,3.3967355757341706,4.666666666666667,1.4452025487889046,2.31257864123299,0.884339750061578
128,19,Easy Fast,Easy,Fast,1,7.461728200316429,3.407138313576713,2.0,0.6734091279065213,1.7363569460809232,0.5714637052485176
129,19,Easy Fast,Easy,Fast,2,7.587959654190961,3.451875689262848,1.9230769230769231,0.6363398490001679,2.3203763802846273,0.8880825943885405
130,19,Easy Slow,Easy,Slow,1,5.583983387265887,2.6889984665104407,1.8571428571428572,0.6032638180647586,1.9446647678102766,0.6938116262307708
131,19,Easy Slow,Easy,Slow,2,7.455919401986258,3.4050703049884565,2.142857142857143,0.7383226262632785,2.521814624468486,0.9811543880291445
132,19,Hard Fast,Hard,Fast,1,10.597586976157295,4.423105588371048,2.4444444444444446,0.8611782637012384,3.183522459312721,1.2469177775223625
133,19,Hard Fast,Hard,Fast,2,8.387889564037323,3.7268938994563188,2.4166666666666665,0.8505688896790516,2.807445520824856,1.1025623668778153
134,19,Hard Slow,Hard,Slow,1,14.207042972246805,5.415323168082367,3.6666666666666665,1.2310785481349613,3.0481215020020804,1.196750524326266
135,19,Hard Slow,Hard,Slow,2,10.84593391418457,4.49647778753563,3.0,1.0495794690010354,3.950216233730316,1.5001030313682433
136,20,Easy Fast,Easy,Fast,1,9.45828511317571,4.074592273725256,2.75,0.9699277911360533,2.975031299061245,1.1688551539207275
137,20,Easy Fast,Easy,Fast,2,6.632781248826247,3.1031494867673266,3.769230769230769,1.255793129284058,2.1737776582057657,0.8158003930058835
138,20,Easy Slow,Easy,Slow,1,10.71285857473101,4.457270374807315,2.5714285714285716,0.9080693275770277,1.8512758975937251,0.6404520395270263
139,20,Easy Slow,Easy,Slow,2,8.047153847558159,3.611472972783376,2.142857142857143,0.7383226262632785,2.729566119966053,1.0705707907857933
140,20,Hard Fast,Hard,Fast,1,13.131886541843414,5.134904619450813,5.375,1.568677406683651,2.4762361346583663,0.9606796169707793
141,20,Hard Fast,Hard,Fast,2,5.390994267030195,2.608548116281611,3.727272727272727,1.2457717741124597,2.1903635144233706,0.8241883110895646
142,20,Hard Slow,Hard,Slow,1,17.087924400965374,6.116916078093815,4.0,1.30883381067823,3.514593289012001,1.3621466707330905
143,20,Hard Slow,Hard,Slow,2,5.896088242530823,2.8161367159820685,3.8333333333333335,1.2708724139368872,1.7885266807344224,0.6032619136661037
