participant_id,block_id,block_type,task_id,start_timestamp,reaction_time,clicked_timestamp,completion_time,end_timestamp,errors,task_code,block_data
18,3,1,3,1711550993.2881966,1.3251921000000948,1711550994.6133888,16.42887699999983,1711551011.0422657,0,MAV#2794,"[np.float64(1711550890.561403), 321.74339195000005, np.float64(1711551212.304795)]"
18,3,1,4,1711551043.0461812,0.7840044750000743,1711551043.8301857,15.748553924999896,1711551059.5787394,2,MAV#4511,"[np.float64(1711550890.561403), 321.74339195000005, np.float64(1711551212.304795)]"
18,3,1,5,1711551089.5821388,0.6211052999999538,1711551090.203244,15.486316575000046,1711551105.6895607,2,MAV#4216,"[np.float64(1711550890.561403), 321.74339195000005, np.float64(1711551212.304795)]"
18,3,1,6,1711551139.695217,0.9682844000001296,1711551140.6635013,17.606179099999736,1711551158.2696803,1,MAV#6738,"[np.float64(1711550890.561403), 321.74339195000005, np.float64(1711551212.304795)]"
18,3,1,7,1711551191.273545,0.701171875,1711551191.974717,19.427925875000028,1711551211.4026427,0,MAV#2882,"[np.float64(1711550890.561403), 321.74339195000005, np.float64(1711551212.304795)]"
18,4,3,1,1711551284.4310746,0.610048474999985,1711551285.0411232,29.47797172499986,1711551314.5190947,1,MAV#8951,"[np.float64(1711551284.429795), 301.53813515, np.float64(1711551585.96793)]"
18,4,3,2,1711551345.523545,1.17578125,1711551346.6993263,35.4296875,1711551382.1290138,0,MAV#8069,"[np.float64(1711551284.429795), 301.53813515, np.float64(1711551585.96793)]"
18,4,3,3,1711551415.1462686,0.7728562999998303,1711551415.9191248,20.746998275000124,1711551436.6661232,0,MAV#9320,"[np.float64(1711551284.429795), 301.53813515, np.float64(1711551585.96793)]"
18,4,3,4,1711551470.6739273,1.2070396249998794,1711551471.880967,38.77734375,1711551510.6583107,1,MAV#6931,"[np.float64(1711551284.429795), 301.53813515, np.float64(1711551585.96793)]"
18,4,3,5,1711551543.662217,0.48828125,1711551544.1504982,41.009765625,1711551585.1602638,0,MAV#6483,"[np.float64(1711551284.429795), 301.53813515, np.float64(1711551585.96793)]"
18,5,5,1,1711551657.0196388,0.529296875,1711551657.5489357,17.255859375,1711551674.804795,0,MAV#1148,"[np.float64(1711551657.0176857), 316.3984375, np.float64(1711551973.4161232)]"
18,5,5,2,1711551705.8138871,0.578798474999985,1711551706.3926857,15.208093224999857,1711551721.6007788,0,MAV#3422,"[np.float64(1711551657.0176857), 316.3984375, np.float64(1711551973.4161232)]"
18,5,5,3,1711551751.6107621,0.672548474999985,1711551752.2833107,16.109472624999853,1711551768.3927832,0,MAV#1944,"[np.float64(1711551657.0176857), 316.3984375, np.float64(1711551973.4161232)]"
18,5,5,4,1711551800.3959873,0.8541202500000509,1711551801.2501075,13.89453125,1711551815.1446388,0,MAV#1879,"[np.float64(1711551657.0176857), 316.3984375, np.float64(1711551973.4161232)]"
18,5,5,5,1711551848.147712,0.5906766000000516,1711551848.7383888,22.6005854,1711551871.338974,1,MAV#0228,"[np.float64(1711551657.0176857), 316.3984375, np.float64(1711551973.4161232)]"
18,5,5,6,1711551901.3419044,1.7854222749999735,1711551903.1273265,21.226296475000023,1711551924.3536232,1,MAV#6249,"[np.float64(1711551657.0176857), 316.3984375, np.float64(1711551973.4161232)]"
18,5,5,7,1711551954.3606899,0.54957370000011,1711551954.9102638,16.298828125,1711551971.209092,0,MAV#3771,"[np.float64(1711551657.0176857), 316.3984375, np.float64(1711551973.4161232)]"
18,6,8,1,1711552021.0938575,0.71484375,1711552021.8087013,32.744140624999545,1711552054.552842,3,MAV#7467,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,2,1711552056.568467,1.41796875,1711552057.9864357,29.66796875,1711552087.6544044,1,MAV#2485,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,3,1711552092.6583107,1.904296875,1711552094.5626075,30.385666250000668,1711552124.9482737,0,MAV#9862,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,4,1711552126.9512794,1.2610452750004697,1711552128.2123246,26.043856700000106,1711552154.2561812,0,MAV#3649,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,5,1711552157.2618263,1.064453125,1711552158.3262794,25.07421875,1711552183.4004982,0,MAV#6614,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,6,1711552186.404338,1.2813165249995109,1711552187.6856544,27.16591177500049,1711552214.851566,0,MAV#1065,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,7,1711552216.8555763,1.2268331000004764,1711552218.0824094,25.780979399999524,1711552243.8633888,0,MAV#2171,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,8,1711552244.867295,2.0340007500003594,1711552246.9012957,23.89959299999964,1711552270.8008888,0,MAV#8532,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,9,1711552275.818467,0.8001077750004697,1711552276.6185746,35.83270472499953,1711552312.4512794,0,MAV#2226,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,6,8,10,1711552315.4545121,0.5338765999995303,1711552315.9883888,26.45011530000056,1711552342.438504,0,MAV#0344,"[np.float64(1711552021.0919044), 322.70703124999955, np.float64(1711552343.7989357)]"
18,7,7,1,1711552404.8262794,0.482421875,1711552405.3087013,28.173828125,1711552433.4825294,1,MAV#7401,"[np.float64(1711552404.8238113), 338.09621792499956, np.float64(1711552742.9200294)]"
18,7,7,2,1711552467.4864357,0.66796875,1711552468.1544044,21.421875,1711552489.5762794,0,MAV#2948,"[np.float64(1711552404.8238113), 338.09621792499956, np.float64(1711552742.9200294)]"
